16:43:44.662	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._1423473823
16:43:44.664	0:0:0:0:0:0:0:1:57250	admin	200		2.24 ms
16:43:44.677	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._1685008080
16:43:44.688	0:0:0:0:0:0:0:1:57250	admin	200		11.11 ms
16:43:44.692	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._268884640
16:43:44.694	0:0:0:0:0:0:0:1:57250	admin	200		2.24 ms
16:43:44.708	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._84788813
16:43:44.710	0:0:0:0:0:0:0:1:57250	admin	200		2.41 ms
16:43:44.721	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._BRjx_conf
16:43:44.723	0:0:0:0:0:0:0:1:57250	admin	200		2.05 ms
16:43:44.727	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._BRjx_main
16:43:44.729	0:0:0:0:0:0:0:1:57250	admin	200		2.06 ms
16:43:44.734	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._BRjx_tables
16:43:44.736	0:0:0:0:0:0:0:1:57250	admin	200		2.36 ms
16:43:44.744	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._compare
16:43:44.746	0:0:0:0:0:0:0:1:57250	admin	200		1.92 ms
16:43:44.751	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._template_main
16:43:44.753	0:0:0:0:0:0:0:1:57250	admin	200		2.16 ms
16:43:45.073	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/.DS_Store
16:43:45.076	0:0:0:0:0:0:0:1:57250	admin	200		2.73 ms
16:43:46.794	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/bin/
16:43:46.852	0:0:0:0:0:0:0:1:57250	admin	200		57.37 ms
16:43:46.856	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/bin/._commands.xml
16:43:46.865	0:0:0:0:0:0:0:1:57250	admin	200		9.19 ms
16:43:46.869	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/bin/._main.xml
16:43:46.879	0:0:0:0:0:0:0:1:57250	admin	200		10.64 ms
16:43:46.891	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/bin/._modules.xml
16:43:46.900	0:0:0:0:0:0:0:1:57250	admin	200		9.35 ms
16:43:46.918	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._.
16:43:46.921	0:0:0:0:0:0:0:1:57250	admin	200		2.88 ms
16:43:46.927	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/bin/.DS_Store
16:43:46.935	0:0:0:0:0:0:0:1:57250	admin	200		8.27 ms
16:43:49.176	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._.
16:43:49.179	0:0:0:0:0:0:0:1:57250	admin	200		3.56 ms
16:43:49.182	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/.DS_Store
16:43:49.191	0:0:0:0:0:0:0:1:57250	admin	200		8.99 ms
