22:23:07.224	127.0.0.1:54532	admin	OK		0.36 ms
22:23:16.189	127.0.0.1:54533	admin	REQUEST	INFO	0.33 ms
22:23:16.190	127.0.0.1:54533	admin	OK		0.48 ms
22:23:16.191	127.0.0.1:54533	admin	REQUEST	INFO	0.21 ms
22:23:16.192	127.0.0.1:54533	admin	OK		0.34 ms
22:23:26.265	127.0.0.1:54534	admin	REQUEST	INFO	0.49 ms
22:23:26.266	127.0.0.1:54534	admin	OK		0.73 ms
22:23:26.267	127.0.0.1:54534	admin	REQUEST	INFO	0.2 ms
22:23:26.267	127.0.0.1:54534	admin	OK		0.32 ms
22:23:43.867	127.0.0.1:54535	admin	REQUEST	INFO	0.3 ms
22:23:43.868	127.0.0.1:54535	admin	OK		0.42 ms
22:23:43.868	127.0.0.1:54535	admin	REQUEST	INFO	0.18 ms
22:23:43.868	127.0.0.1:54535	admin	OK		0.38 ms
22:24:13.241	127.0.0.1:54537	admin	REQUEST	INFO	0.38 ms
22:24:13.242	127.0.0.1:54537	admin	OK		0.78 ms
22:24:13.247	127.0.0.1:54537	admin	REQUEST	INFO	0.39 ms
22:24:13.248	127.0.0.1:54537	admin	OK		0.5 ms
22:24:41.702	127.0.0.1:54538	admin	REQUEST	INFO	0.35 ms
22:24:41.703	127.0.0.1:54538	admin	OK		0.41 ms
22:24:41.703	127.0.0.1:54538	admin	REQUEST	INFO	0.15 ms
22:24:41.704	127.0.0.1:54538	admin	OK		0.38 ms
22:24:49.629	127.0.0.1:54539	admin	REQUEST	INFO	0.33 ms
22:24:49.631	127.0.0.1:54539	admin	OK		1.52 ms
22:24:49.635	127.0.0.1:54539	admin	REQUEST	INFO	0.3 ms
22:24:49.636	127.0.0.1:54539	admin	OK		0.5 ms
22:25:04.575	127.0.0.1:54540	admin	REQUEST	INFO	0.7 ms
22:25:04.575	127.0.0.1:54540	admin	OK		0.54 ms
22:25:04.577	127.0.0.1:54540	admin	REQUEST	INFO	0.22 ms
22:25:04.577	127.0.0.1:54540	admin	OK		0.3 ms
22:26:30.117	127.0.0.1:54563	admin	REQUEST	INFO	0.31 ms
22:26:30.118	127.0.0.1:54563	admin	OK		0.66 ms
22:26:30.124	127.0.0.1:54563	admin	REQUEST	OPEN app-cm	3.42 ms
22:26:30.302	127.0.0.1:54563	admin	OK	Database 'app-cm' was opened in 177.74 ms.	178.39 ms
22:26:30.306	127.0.0.1:54563	admin	REQUEST	XQUERY /cmd/app/@id	3.28 ms
