07:26:27.041	SERVER	admin	OK	Server wurde gestartet (Port: 1984).
07:50:00.302	127.0.0.1:62570	admin	OK	EXEC[0]	16.84 ms
07:50:00.386	127.0.0.1:62571	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/Args.class")	0.12 ms
07:50:00.402	127.0.0.1:62571	admin	OK	EXEC[0]	14.06 ms
20:48:05.705	SERVER	admin	OK	Server wurde gestoppt (Port: 1984).
20:48:11.275	SERVER	admin	OK	Server wurde gestartet (Port: 1984).
20:49:34.587	SERVER	admin	OK	Server wurde gestoppt (Port: 1984).
20:50:37.132	SERVER	admin	OK	Server wurde gestartet (Port: 1984).
20:52:29.326	SERVER	admin	OK	Server wurde gestoppt (Port: 1984).
20:52:34.110	SERVER	admin	OK	Server wurde gestartet (Port: 1984).
20:54:29.834	SERVER	admin	OK	Server wurde gestoppt (Port: 1984).
20:54:34.645	SERVER	admin	OK	Server wurde gestartet (Port: 1984).
20:54:35.525	127.0.0.1:63754	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_main/bin/modules.xml/")	6.27 ms
20:54:36.575	127.0.0.1:63754	admin	OK	EXEC[0]	1041.47 ms
20:54:38.134	127.0.0.1:63755	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js.js")	0.28 ms
20:54:38.184	127.0.0.1:63755	admin	OK	EXEC[0]	37.47 ms
20:54:38.310	127.0.0.1:63756	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js.json")	0.18 ms
20:54:38.353	127.0.0.1:63756	admin	OK	EXEC[0]	38.34 ms
20:54:38.471	127.0.0.1:63757	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js.class")	0.15 ms
20:54:38.516	127.0.0.1:63757	admin	OK	EXEC[0]	40.06 ms
20:54:38.604	127.0.0.1:63758	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/package.json")	0.2 ms
20:54:38.647	127.0.0.1:63758	admin	OK	EXEC[0]	37.19 ms
20:54:38.731	127.0.0.1:63759	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/index.js")	0.15 ms
20:54:38.766	127.0.0.1:63759	admin	OK	EXEC[0]	28.79 ms
20:54:38.878	127.0.0.1:63760	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/index.json")	0.15 ms
20:54:38.908	127.0.0.1:63760	admin	OK	EXEC[0]	24.75 ms
20:54:38.980	127.0.0.1:63761	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/index.class")	0.15 ms
20:54:39.015	127.0.0.1:63761	admin	OK	EXEC[0]	29.68 ms
20:54:39.098	127.0.0.1:63762	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js")	0.15 ms
20:54:39.128	127.0.0.1:63762	admin	OK	EXEC[0]	24.53 ms
20:54:39.197	127.0.0.1:63763	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js")	0.14 ms
20:54:39.228	127.0.0.1:63763	admin	OK	EXEC[0]	23.93 ms
20:54:39.294	127.0.0.1:63764	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js")	0.14 ms
20:54:39.323	127.0.0.1:63764	admin	OK	EXEC[0]	24.9 ms
20:54:39.393	127.0.0.1:63765	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getContent("/BRjx_main/bin/modules.xml/BRjx.js")	0.16 ms
20:54:39.451	127.0.0.1:63765	admin	OK	EXEC[0]	54.44 ms
20:54:39.510	127.0.0.1:63766	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; db:open("BRjx_main")//*[./name/text() = "BRjx" and ./type/text() = "js"]	0.15 ms
20:54:39.533	127.0.0.1:63766	admin	OK	EXEC[0]	22.64 ms
20:54:39.712	127.0.0.1:63767	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getLastModified("/BRjx_main/bin/modules.xml/")	0.15 ms
20:54:39.770	127.0.0.1:63767	admin	OK	EXEC[0]	54.27 ms
20:54:39.899	127.0.0.1:63768	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getParentRepository("/BRjx_main/bin/modules.xml/")	0.13 ms
20:54:39.922	127.0.0.1:63768	admin	REQUEST	EXEC[0]	19.62 ms
20:54:39.922	127.0.0.1:63768	admin	ERROR	Gestoppt in ., 5/25: [XPST0017] Unknown function: Q{http://brjx.stocker-schmid.ch}getParentRepository.	0.16 ms
20:54:40.068	127.0.0.1:63769	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection.js")	0.14 ms
20:54:40.095	127.0.0.1:63769	admin	OK	EXEC[0]	23.7 ms
20:54:40.209	127.0.0.1:63770	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection.json")	0.14 ms
20:54:40.232	127.0.0.1:63770	admin	OK	EXEC[0]	19.54 ms
20:54:40.321	127.0.0.1:63771	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection.class")	0.13 ms
20:54:40.342	127.0.0.1:63771	admin	OK	EXEC[0]	18.67 ms
20:54:40.432	127.0.0.1:63772	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/package.json")	0.13 ms
20:54:40.457	127.0.0.1:63772	admin	OK	EXEC[0]	21.43 ms
20:54:40.536	127.0.0.1:63773	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection/package.json")	0.14 ms
20:54:40.561	127.0.0.1:63773	admin	OK	EXEC[0]	19.6 ms
